System,Ligand_Name,Receptor_Name,Ligand_Gene,Receptor_Gene,Ligand_Class,Functional_Role,Hypothalamic_Nuclei,Notes,hormone_class,receptor_type
Estrogen,Estradiol (E2),G protein-coupled estrogen receptor (GPER/GPR30),Cyp19a1,Gper1,Steroid hormone,"Rapid estrogen signaling; memory enhancement; neuroprotection; OXT neuron regulation; lordosis via ARH; GnRH modulation; anxiogenic; CCK satiety signaling","PVH (high);SON (high);ARH;ME;pituitary","Well-established membrane ER; Kd ~3nM; activates Gαs→cAMP, PI3K/Akt, MAPK/ERK; high in OXT neurons; controversy over direct vs indirect E2 binding",estrogen,membrane
Estrogen,Estradiol (E2),Membrane-associated ERα (palmitoylated),Cyp19a1,Esr1,Steroid hormone,"Rapid lordosis modulation; LH surge regulation; μ-opioid receptor internalization; neuronal excitability","ARH;VMHvl;MPN;AVPV","Palmitoylation at Cys451 (mouse) essential for membrane targeting; requires caveolin-1 and DHHC-7/21; C451A knockin causes female infertility; transactivates mGluR1a",estrogen,membrane
Testosterone,Testosterone (T),ZIP9 membrane androgen receptor,Hsd17b3,Slc39a9,Steroid hormone,"Testosterone-induced apoptosis; hippocampal synaptic plasticity; learning/memory via ERK1/2 and eIF4E; dendritic spine density","Brain;hippocampus;gonadal tissues","NOVEL (2014); only zinc transporter with steroid receptor activity; Kd ~14nM; DHT has <1% T affinity; unique zinc-steroid signaling crosstalk; mediates androgen effects in Tfm mice",androgen,membrane
Testosterone,Testosterone (T),GPRC6A,Hsd17b3,Gprc6a,Steroid hormone,"Non-genomic testosterone effects; testosterone negative feedback on LH; energy metabolism; insulin secretion","Hypothalamus;pituitary gonadotropes;Sertoli cells","Class C GPCR; multiligand receptor (also binds osteocalcin, amino acids, Ca²⁺); GPRC6A-null mice show feminization, low T; activates Gαs→cAMP→ERK",androgen,membrane
Progestogen,Progesterone (P4),mPRα/PAQR7,Hsd3b1,Paqr7,Steroid hormone,"GnRH secretion modulation; neuroprotection; anti-apoptotic; lordosis (VTA); oocyte maturation","Mediobasal hypothalamus;VTA","Most characterized mPR; coupled to Gi→↓cAMP; works with PGRMC1 for membrane localization; controversy over true GPCR status",progestogen,membrane
Progestogen,Progesterone (P4),mPRβ/PAQR8,Hsd3b1,Paqr8,Steroid hormone,"Neurite outgrowth; neuroprotection; lordosis (VTA); GnRH suppression","Hypothalamus;midbrain;thalamus","Brain-specific expression; coupled to Gi; may have only 6 TMDs; required with mPRα for lordosis",progestogen,membrane
Progestogen,Progesterone (P4),mPRγ/PAQR5,Hsd3b1,Paqr5,Steroid hormone,"Ciliary activity regulation; putative reproductive functions","Hypothalamus (highest);ovary;fallopian tube","Less characterized; highest expression in hypothalamus",progestogen,membrane
Progestogen,Progesterone (P4),mPRδ/PAQR6,Hsd3b1,Paqr6,Steroid hormone/Neurosteroid,"Neuroprotection; anti-apoptotic neurosteroid actions; neuronal survival during starvation","Forebrain;hypothalamus;amygdala;corpus callosum;spinal cord;hippocampus","BRAIN-SPECIFIC mPR; only mPR exclusively expressed in CNS; coupled to Gs (opposite to mPRα/β/γ); also binds allopregnanolone",progestogen,membrane
Progestogen,Progesterone (P4),mPRε/PAQR9,Hsd3b1,Paqr9,Steroid hormone,"Potential anti-apoptotic neurosteroid actions; oocyte maturation","Pituitary gland (high);hypothalamus","Coupled to Gs; less characterized; high pituitary expression",progestogen,membrane
Progestogen,Progesterone (P4),PGRMC1,Hsd3b1,Pgrmc1,Steroid hormone,"Neuroprotection; neurosteroid synthesis regulation; anti-inflammatory (suppresses TNFα); water homeostasis/edema reduction; BDNF release","AVPV (+++);limbic system;circumventricular organs;ependymal cells;meninges","Well-established; may be identical to sigma-2 receptor; direct P4 binding debated; functions as adaptor for mPRα membrane localization; single TMD, cytochrome b5-related",progestogen,membrane
Progestogen,Progesterone (P4),PGRMC2,Hsd3b1,Pgrmc2,Steroid hormone,"Neuroprotection in ischemic stroke; cytochrome P450 regulation","AVPV (high);overlaps with PGRMC1","Does NOT bind P4 directly (confirmed); binds heme; inflammatory suppressor via NFκB; structurally similar to PGRMC1",progestogen,membrane
Progestogen,Progesterone (P4),mPRα/PAQR7,Hsd3b2,Paqr7,Steroid hormone,"GnRH secretion modulation; neuroprotection; anti-apoptotic; lordosis (VTA); oocyte maturation","Mediobasal hypothalamus;VTA","Most characterized mPR; coupled to Gi→↓cAMP; works with PGRMC1 for membrane localization; controversy over true GPCR status",progestogen,membrane
Progestogen,Progesterone (P4),mPRβ/PAQR8,Hsd3b2,Paqr8,Steroid hormone,"Neurite outgrowth; neuroprotection; lordosis (VTA); GnRH suppression","Hypothalamus;midbrain;thalamus","Brain-specific expression; coupled to Gi; may have only 6 TMDs; required with mPRα for lordosis",progestogen,membrane
Progestogen,Progesterone (P4),mPRγ/PAQR5,Hsd3b2,Paqr5,Steroid hormone,"Ciliary activity regulation; putative reproductive functions","Hypothalamus (highest);ovary;fallopian tube","Less characterized; highest expression in hypothalamus",progestogen,membrane
Progestogen,Progesterone (P4),mPRδ/PAQR6,Hsd3b2,Paqr6,Steroid hormone/Neurosteroid,"Neuroprotection; anti-apoptotic neurosteroid actions; neuronal survival during starvation","Forebrain;hypothalamus;amygdala;corpus callosum;spinal cord;hippocampus","BRAIN-SPECIFIC mPR; only mPR exclusively expressed in CNS; coupled to Gs (opposite to mPRα/β/γ); also binds allopregnanolone",progestogen,membrane
Progestogen,Progesterone (P4),mPRε/PAQR9,Hsd3b2,Paqr9,Steroid hormone,"Potential anti-apoptotic neurosteroid actions; oocyte maturation","Pituitary gland (high);hypothalamus","Coupled to Gs; less characterized; high pituitary expression",progestogen,membrane
Progestogen,Progesterone (P4),PGRMC1,Hsd3b2,Pgrmc1,Steroid hormone,"Neuroprotection; neurosteroid synthesis regulation; anti-inflammatory (suppresses TNFα); water homeostasis/edema reduction; BDNF release","AVPV (+++);limbic system;circumventricular organs;ependymal cells;meninges","Well-established; may be identical to sigma-2 receptor; direct P4 binding debated; functions as adaptor for mPRα membrane localization; single TMD, cytochrome b5-related",progestogen,membrane
Progestogen,Progesterone (P4),PGRMC2,Hsd3b2,Pgrmc2,Steroid hormone,"Neuroprotection in ischemic stroke; cytochrome P450 regulation","AVPV (high);overlaps with PGRMC1","Does NOT bind P4 directly (confirmed); binds heme; inflammatory suppressor via NFκB; structurally similar to PGRMC1",progestogen,membrane